ts,sid,aid,rps,p50,p90,p99,err_rate,cb,rt_rate,reward,ce,ra
2026-04-26T05:05:16.017841,1,3,20.0,4.0103,8.8028,18.8636,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:05:31.048195,1,3,20.0,4.0104,8.807,19.2857,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:05:46.075749,1,3,20.0,3.9306,8.6861,17.9412,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:06:01.106783,1,3,20.0,3.974,8.6552,14.0909,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:06:16.152283,1,3,20.0,3.9825,8.6195,9.9832,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:06:31.189527,1,3,20.0,4.0551,8.7092,12.7273,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:06:46.221483,1,3,20.0,3.9913,8.7069,16.0,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:07:01.251190,1,3,20.0,4.0138,8.7414,17.0588,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:07:16.301942,1,3,20.0,3.9863,8.6552,13.75,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:07:31.341210,1,3,20.0,4.0493,8.6645,9.9837,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:07:46.372057,1,3,20.0,4.133,8.7191,9.9691,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:08:01.405837,1,3,20.0,4.1587,8.7963,14.5,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:08:16.436484,1,3,20.0,4.0403,8.6921,12.7273,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:09:01.966175,1,4,20.0,4.1119,8.8226,18.5714,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:09:16.996357,1,4,20.0,4.132,8.7855,14.6154,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:09:32.025600,1,4,20.0,4.0355,8.7584,16.5625,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:09:47.059811,1,4,20.0,3.9444,8.662,15.3571,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:10:02.091478,1,4,20.0,3.8227,8.5521,16.0,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:10:17.122922,1,4,20.0,3.8282,8.428,9.9621,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:10:32.173143,1,4,20.0,3.9338,8.5614,9.9825,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:10:47.205275,1,4,20.0,4.028,8.6711,11.5,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:11:02.247121,1,4,20.0,4.1791,8.8462,16.0,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:11:17.290651,1,4,20.0,4.0282,8.7124,14.6154,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:11:32.321822,1,4,20.0,4.0156,8.6835,13.725,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:11:47.371025,1,4,20.0,3.8731,8.489,9.9812,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:12:02.404999,1,4,20.0,3.921,8.5712,11.455,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:12:17.434223,1,4,20.0,3.8885,8.5234,9.9818,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:12:32.463419,1,4,20.0,4.0214,8.6921,12.7273,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:12:47.491623,1,4,20.0,4.0337,8.6842,11.5,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:13:02.522828,1,4,20.0,4.155,8.8542,17.05,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:13:17.589254,1,4,20.0,4.0854,8.8016,17.05,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:13:32.618826,1,4,20.0,4.0978,8.829,17.5083,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:13:47.650955,1,4,20.0,4.0215,8.7559,16.5719,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:14:02.679576,1,4,20.0,3.917,8.6793,17.0676,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:14:17.710091,1,4,20.0,3.9357,8.6975,17.0412,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:14:32.745849,1,4,20.0,3.9317,8.6281,14.6038,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:14:47.781472,1,4,20.0,4.0758,8.7308,12.7,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:15:02.809708,1,4,20.0,4.0926,8.7066,9.9842,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:15:17.839804,1,4,20.0,4.0233,8.6482,9.9674,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:15:32.870876,1,4,20.0,3.9496,8.6159,11.5,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:15:47.903993,1,4,20.0,3.9178,8.6071,13.75,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:16:02.934859,1,4,20.0,3.9983,8.6735,13.75,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:16:17.975236,1,4,20.0,4.0105,8.6993,14.6154,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:16:33.016588,1,4,20.0,4.0483,8.7336,14.6154,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:16:48.047136,1,4,20.0,4.0216,8.771,17.0588,0.0,0.0,0.0,0.4,10,4
2026-04-26T05:17:03.077772,1,4,17.8667,3.9586,8.7176,16.96,0.0,0.0,0.0,0.3573,10,4
2026-04-26T05:17:18.118974,1,4,17.8667,3.9592,8.6784,15.7231,0.0,0.0,0.0,0.3573,10,4
2026-04-26T05:17:33.150056,1,4,17.8667,3.9222,8.6356,15.7231,0.0,0.0,0.0,0.3573,10,4
2026-04-26T05:17:48.179292,1,4,20.0,3.9176,8.6182,15.3571,0.0,0.0,0.0,0.4,10,4
